@file,1,DDJ-GRV6
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
,,,,,,,,,,,,,,
# Browser,,,,,,,,,,,,,,
Browse,Browse,Rotary,B640,,,,,,,,,,,Browse(Track/Folder Select)
Zoom,Browse+Shift,Rotary,B664,,,,,,,,,,,Scaling Waveform for all deck
Forward,Browse+Press,Button,9641,,,,,,,,,,,Library Forward (Folder Open)
RelatedTracks,Disocover+Shift,Button,9668,,,,,,,,,,,Related Track
Back,Back,Button,9665,,,,,,,,,,,Library Back (Folder Close)
Area,Back+Shift,Button,9666,,,,,,,,,,,Area (Change panel type from among several types)
SwitchActiveWindow,BrowseView,Button,967A,,,,,,,,,,,BROWSE VIEW
AddToTagList,BrowseView+Shift,Button,9667,,,,,,,,,,,Tag Track
Load,Load,Button,,9646,9647,9648,9649,,,,,,,Load to Deck / Instant Double (double click)
#,Load+Press+Shift,Button,,9658,9659,9660,9661,,,,,,,No function assigned here
BrowseJumpUp,BrowseJumpUp,Button,9638,,,,,,,,,,,
BrowseJumpTop,BrowseJumpUp+Shift,Button,9639,,,,,,,,,,,
BrowseJumpDown,BrowseJumpDown,Button,963A,,,,,,,,,,,
BrowseJumpBottom,BrowseJumpDown+Shift,Button,963B,,,,,,,,,,,
AreaRight,AreaRight,Button,963E,,,,,,,,,,,
AreaRightEdge,AreaRight+Shift,Button,963F,,,,,,,,,,,
AreaLeft,AreaLeft,Button,963C,,,,,,,,,,,
AreaLeftEdge,AreaLeft+Shift,Button,963D,,,,,,,,,,,
Discover,Discover,Button,9635,,,,,,,,,,,Discover
PlayPausePreview,Preview,Button,9636,,,,,,,,,,,
SkipPreview,Preview+Shift,Button,9637,,,,,,,,,,,
,,,,,,,,,,,,,,
# Deck,,,,,,,,,,,,,,
PlayPause,PlayPause,Button,900B,0,1,2,3,900B,0,1,2,3,Fast;Priority=50,Play/Pause
PlayPause,PlayPause+Shift,Button,9047,0,1,2,3,9047,0,1,2,3,Fast;Priority=50,Play/Pause
Cue,Cue,Button,900C,0,1,2,3,900C,0,1,2,3,Fast;Priority=50,Cue Set/Play Cue Back
JumpToTrackStart,Cue+Shift,Button,9048,0,1,2,3,9048,0,1,2,3,Fast;Priority=50,Jump to track start
,,,,,,,,,,,,,,
JogScratch,JogScratch,JogRotate,B022,0,1,2,3,,,,,,RO,Scratch
JogPitchBend,JogPitchBend,JogRotate,B023,0,1,2,3,,,,,,RO,Pitch Bend
#JogSearch,JogSearch,Difference,B029,0,1,2,3,,,,,,RO,Search
WheelPitchBend,WheelPitchBend,JogRotate,B021,0,1,2,3,,,,,,RO,Pitch Bend
WheelSearch,WheelSearch,JogRotate,B026,0,1,2,3,,,,,,RO,Pitch Bend
JogTouch,JogTouch,JogTouch,9036,0,1,2,3,,,,,,RO,Touch
JogTouch,JogTouch+Shift,JogTouch,9067,0,1,2,3,,,,,,RO,Touch
,,,,,,,,,,,,,,
TempoSlider,TempoSlider,KnobSliderHiRes,B000,0,1,2,3,,,,,,Fast,Tempo Control
TempoSlider,TempoSlider+Shift,KnobSliderHiRes,B005,0,1,2,3,,,,,,Fast,Tempo Control
MasterTempo,MasterTempo,Button,901A,0,1,2,3,901A,0,1,2,3,,MasterTempo On/Off
TempoRange,MasterTempo+Shift,Button,9060,0,1,2,3,9060,0,1,2,3,,Tempo Range
Sync,Sync,Button,9058,0,1,2,3,9058,0,1,2,3,Blink=600,Sync On/Off
